(( 	Q-AB	DQO-AB DBO-AB SST-AB NKT-AB NH4-AB PH-AB COND-AB TERB-AB CL-AB Q-SP1 DQO-SP1 DBO-SP1 SST-SP1 Q-SP3 DQO-SP3 DBO-SP3 SST-SP3 DQO-AT DBO-AT SST-AT NKT-AT NH4-AT NO2-AT NO3-AT PH-AT COND-AT TERB-AT CL-AT DQO-EMIS DBO-EMIS SST-EMIS V30-B LM-B IVF SSVLM-B SST-R CM TRC ESC-B FLOC ASP-AT ASP-FLOC ZOO 4.000000000 021N/THIO 41 MICO FILAM NFILAM ASPID EUPL VORT EPIST OPER CIL-CAR GPROTO-DOMI BIODIV-MIC G-FLAG P-FLAG AMEB AMEBES-TECA ROTIFERS CLASSE	))
((	6940	577	?	234	56	30	7.8	1180	100	?	6940	325	?	63	0	0	0	0	35	?	5.4	14	9	?	?	7.25	1163	3	?	35	?	5.4	?	?	?	?	?	?	?	2	?	2	?	0	4	0	0	0	noc	?	?	?	?	?	0	0	cap	?	0	0	0	0	0	c1	))
((	8890	854	?	468	?	?	7.79	1376	175	?	8890	312	?	71	0	0	0	0	30	?	6.4	?	?	?	?	7.81	1315	4	?	30	?	6.4	?	?	?	?	?	?	?	3	fangflotant	2	1	0	4	2	0	2	noc	3	1	0	1	1	0	0	cap	3	0	0	0	0	0	c1	))
((	10128	609	404	227	?	?	7.4	1197	140	?	10128	409	263	72	0	0	0	0	48	11	12	?	?	?	?	7.82	1056	5	?	48	11	12	?	?	?	?	?	?	?	2	fangflotant	2	2	1	3	1	1	0	noc	4	1	0	3	2	0	1	sessils	5	0	1	0	0	1	c1	))
((	8534	994	444	292	57	34	7.34	1244	150	?	8534	553	260	71	0	0	0	0	72	6	10	17	11	?	?	7.8	1134	4	?	72	6	10	380	1.92	198	1.38	4.7	0.26	7.07	1	?	2	?	0	0	0	0	0	cap	0	?	0	?	?	?	0	cap	?	0	0	0	0	0	c1	))
((	4950	641	?	297	?	?	?	?	?	?	4950	313	?	83	0	0	0	0	55	?	8	?	?	?	?	?	?	?	?	55	?	8	980	1.79	547	1.52	2.53	?	10.08	1	?	2	2	0	0	0	0	3	mico	1	1	0	2	1	0	1	sessils	5	0	0	0	0	1	c1	))
((	6079	848	?	420	60	27	7.76	1315	160	?	6079	375	?	81	0	0	0	0	75	?	11	16	27	0.05	0.96	7.67	1280	5	?	75	?	11	700	1.16	603	1.03	3.42	?	79.38	1	?	2	?	2	0	0	0	3	mico	2	?	0	2	0	0	2	pflag	4	0	3	1	0	2	c1	))
((	6098	1200	540	203	?	?	7.62	1144	88	?	6098	414	230	83	0	0	0	0	60	11	3	?	?	?	?	7.67	1001	2	?	60	11	3	990	1.26	786	?	2.94	0.37	8.6	2	?	2	2	1	0	0	0	4	mico	2	1	0	1	?	0	0	pflag	3	0	2	0	0	1	c1	))
((	7356	457	?	214	39	21	7.84	1388	110	?	7356	175	?	47	0	0	0	0	43	?	4.6	4	3	?	?	7.56	1698	3	?	43	?	4.6	?	?	?	?	?	?	?	2	?	2	?	0	?	0	?	0	cap	?	?	?	?	?	?	0	cap	?	0	0	0	0	0	c1	))
((	8722	743	393	267	?	?	7.62	1342	145	173	8722	480	258	88	0	0	0	0	68	7	14	?	?	?	?	7.68	1123	4.7	159	68	7	14	565	1.13	500	0.98	2.52	0.66	9.27	3	desfloculacio	2	3	2	3	1	0	?	noc	3	2	0	3	3	3	0	sessils	6	1	0	0	0	1	c1	))
((	11207	850	?	324	?	?	7.61	1332	160	?	5589	345	?	90	5618	0	0	0	55	?	6	?	?	?	?	7.98	1349	6.7	?	200	?	48.1	260	1.76	148	?	2.77	?	7.56	2	fangflotant	2	3	0	2	2	0	0	noc_thio	2	1	0	1	1	0	0	pflag	4	0	3	0	0	1	c20	))
((	17854	895	362	355	68	54	7.53	1255	100	?	10718	433	309	87	7136	301	220	54	37	4	4	6.2	2.2	0.04	0.9	7.53	1255	2	?	143	90	24	843	2.5	337	?	5.09	0.44	8.1	2	?	3	4	3	0	1	2	0	zoo	3	1	0	2	2	2	0	sessils	6	0	0	1	0	1	c11	))
((	13543	803	366	246	?	?	7.74	1376	125	189	9412	360	182	60	4131	293	151	30	40	3	4	?	?	?	?	7.39	1230	3.2	181	117	48	11.9	938	3.34	281	2.7	6.23	0.17	17.11	1	?	3	1	2	0	0	3	0	v_41	2	2	0	2	0	2	0	sessils_crawling	4	0	0	0	0	1	c11	))
((	14256	777	423	240	?	?	7.65	1253	100	181	10740	474	276	68	3516	428	236	47	60	6	6	?	?	?	?	7.84	1142	18	177	161	63	17	855	1.69	506	1.38	4.77	0.58	5.12	2	fangflotant	2	?	1	4	1	1	0	noc	4	2	0	2	3	0	1	sessils	4	0	0	0	0	0	c2	))
((	16513	718	?	215	?	?	7.64	1180	125	?	10429	436	?	66	6084	320	?	38	54	?	5	?	?	?	?	7.93	1069	4	?	143	?	15	890	1.83	486	1.37	4.61	?	3.78	2	fangflotant	2	2	0	3	1	1	0	noc	3	3	0	1	2	1	0	crawling	6	1	0	0	0	1	c2	))
((	10603	628	288	390	49	29	7.73	1288	140	?	8419	392	243	72	2184	374	150	70	43	6	14	4	0	0.5	2.7	7.77	1159	5	?	111	36	25.5	970	2.2	441	1.91	5.5	0.31	21.05	3	?	3	?	3	2	0	3	0	zoo_41	3	?	0	?	?	0	0	cap	?	0	0	0	0	0	c2	))
((	15058	845	300	260	?	?	7.88	1013	150	150	8019	413	193	56	7039	200	98	37	63	10	12	?	?	0.02	0.55	7.7	938	8	160	127	51	23.7	980	3.08	318	2.59	6.04	0.14	9	2	?	2	4	3	1	0	1	1	zoo	4	3	1	?	0	?	0	crawling	2	0	0	0	0	0	c2	))
